Job Role,Job Function,Job Level,Title
Development,Engineering,Manager,18930
Development,Engineering,Non-Manager,527
Development,Engineering,Other,6
Development,Engineering,Senior Security Engineer - SSE Lead,5
Development,Engineering,Team Lead,24
Development,Engineering,Unknown,345
Development,Engineering,VP-Level,18
Development,Engineering,contributor,2
Development,Engineering,nan,2141
Development,Engineering & Technical,Non-Manager,1
Development,Facilities,C-Level,2
Development,Facilities,Contributor,13
Development,Facilities,Director,2
Development,Facilities,Executive,13
Development,Facilities,Manager,16
Development,Facilities,nan,1
Development,Finance,C-Level,6
Development,Finance,Contributor,25
Development,Finance,Director,6
Development,Finance,Executive,8
Development,Finance,Manager,7
Development,Human Resource,C-Level,2
Development,Human Resource,Contributor,29
Development,Human Resource,Director,1
Development,Human Resource,Executive,10
Development,Human Resource,Manager,12
Development,IT,C-Level,820
Development,IT,C-level,1
Development,IT,Contributor,10762
Development,IT,Director,1046
Development,IT,Executive,4576
Development,IT,Individual Contributor,3
Development,IT,Manager,7125
Development,IT,Non-Manager,125
Development,IT,Team Lead,2
Development,IT,Unknown,81
Development,IT,VP-Level,37
Development,IT,nan,858
Development,IT - Security,Contributor,1
Development,Legal,Contributor,10
Development,Legal,Executive,1
Development,Legal,Manager,4
Development,Legal,Non-Manager,1
Development,Management,C-Level,628
Development,Management,Contributor,147
Development,Management,Director,17
Development,Management,Executive,1655
Development,Management,Manager,140
Development,Management,Non-Manager,1
Development,Management,Unknown,11
Development,Management,nan,34
Development,Marketing,C-Level,3
Development,Marketing,Contributor,25
Development,Marketing,Director,4
Development,Marketing,Executive,27
Development,Marketing,Manager,36
Development,Marketing,nan,3
Development,Medical,C-Level,1
Development,Medical,Contributor,4
Development,Medical,Executive,1
Development,Operations,Contributor,66
Development,Operations,Director,2
Development,Operations,Executive,27
Development,Operations,Manager,19
Development,Operations,nan,99
Development,Public Sector,Contributor,7
Development,Public Sector,Executive,2
Development,Public Sector,Manager,2
Development,Public Sector,nan,1
Development,Purchasing,Manager,2
Development,Purchasing,nan,1
Development,Sales,C-Level,3
Development,Sales,Contributor,161
Development,Sales,Director,4
Development,Sales,Executive,37
Development,Sales,Manager,98
Development,Sales,nan,5
Development,Services,C-Level,2
Development,Services,Contributor,4
Development,Services,Executive,73
Development,Support,Contributor,3
Development,Support,Director,2
Development,Support,Executive,2
Development,Support,Manager,1
Development,Unknown,C-Level,6
Development,Unknown,Contributor,37
Development,Unknown,Director,1
Development,Unknown,Executive,21
Development,Unknown,Manager,29
Development,Unknown,nan,1
Executive,Management,Executive,4
Founder And CEO,Management,C-Level,6
Governance Risk Compliance,Administration,Contributor,1
Governance Risk Compliance,Administration,Director,1
Governance Risk Compliance,Administration,Executive,3
Governance Risk Compliance,Corporate,Contributor,1
Governance Risk Compliance,Corporate,Director,2
Governance Risk Compliance,Education,Contributor,1
Governance Risk Compliance,Education,Director,1
Governance Risk Compliance,Engineering,C-Level,8
Governance Risk Compliance,Engineering,Contributor,237
Governance Risk Compliance,Engineering,Director,53
Governance Risk Compliance,Engineering,Executive,43
Governance Risk Compliance,Engineering,Manager,76
Governance Risk Compliance,Engineering,Non-Manager,13
Governance Risk Compliance,Engineering,Unknown,1
Governance Risk Compliance,Engineering,nan,22
Governance Risk Compliance,Facilities,C-Level,2
Governance Risk Compliance,Facilities,Contributor,1
Governance Risk Compliance,Facilities,Director,3
Governance Risk Compliance,Facilities,Executive,8
Governance Risk Compliance,Facilities,Manager,13
Governance Risk Compliance,Finance,C-Level,12
Governance Risk Compliance,Finance,Contributor,443
Governance Risk Compliance,Finance,Director,35
Governance Risk Compliance,Finance,Executive,95
Governance Risk Compliance,Finance,Manager,205
Governance Risk Compliance,Finance,nan,1
Governance Risk Compliance,Human Resource,Director,1
Governance Risk Compliance,Human Resource,Executive,1
Governance Risk Compliance,IT,C-Level,2407
Governance Risk Compliance,IT,Contributor,7792
Governance Risk Compliance,IT,Director,4085
Governance Risk Compliance,IT,Executive,4416
Governance Risk Compliance,IT,Individual Contributor,2
Governance Risk Compliance,IT,Manager,9370
Governance Risk Compliance,IT,Non-Manager,122
Governance Risk Compliance,IT,Other,3
Governance Risk Compliance,IT,Unknown,89
Governance Risk Compliance,IT,VP-Level,10
Governance Risk Compliance,IT,VP/Director,16
Governance Risk Compliance,IT,nan,713
Governance Risk Compliance,Legal,C-Level,6
Governance Risk Compliance,Legal,Contributor,2
Governance Risk Compliance,Legal,Director,1
Governance Risk Compliance,Legal,Executive,1
Governance Risk Compliance,Legal,Manager,5
Governance Risk Compliance,Management,C-Level,39
Governance Risk Compliance,Management,Contributor,9
Governance Risk Compliance,Management,Director,9
Governance Risk Compliance,Management,Executive,125
Governance Risk Compliance,Management,Manager,9
Governance Risk Compliance,Marketing,Director,1
Governance Risk Compliance,Marketing,Executive,1
Governance Risk Compliance,Operations,C-Level,1
Governance Risk Compliance,Operations,Contributor,4
Governance Risk Compliance,Operations,Manager,5
Governance Risk Compliance,Procurement,Contributor,14
Governance Risk Compliance,Procurement,Executive,1
Governance Risk Compliance,Procurement,Manager,7
Governance Risk Compliance,Sales,C-Level,2
Governance Risk Compliance,Sales,Contributor,4
Governance Risk Compliance,Sales,Executive,8
Governance Risk Compliance,Sales,Manager,9
Governance Risk Compliance,Services,Manager,2
Governance Risk Compliance,Unknown,Contributor,2
Help Desk,Administration,Manager,2
Help Desk,Corporate,Executive,1
Help Desk,Education,Manager,1
Help Desk,Engineering,C-Level,1
Help Desk,Engineering,Contributor,1599
Help Desk,Engineering,Director,46
Help Desk,Engineering,Executive,112
Help Desk,Engineering,Manager,314
Help Desk,Engineering,Member of Technical Staff 2,2
Help Desk,Engineering,Non-Manager,31
Help Desk,Engineering,Unknown,18
Help Desk,Engineering,VP-Level,1
Help Desk,Engineering,nan,77
Help Desk,Facilities,Contributor,12
Help Desk,Facilities,Director,4
Help Desk,Facilities,Executive,2
Help Desk,Facilities,Manager,14
Help Desk,Facilities,nan,1
Help Desk,Finance,Executive,1
Help Desk,Finance,Manager,3
Help Desk,Human Resource,Contributor,2
Help Desk,Human Resource,Manager,6
Help Desk,IT,C-Level,188
Help Desk,IT,Contributor,5607
Help Desk,IT,Director,404
Help Desk,IT,Executive,1006
Help Desk,IT,Manager,3646
Help Desk,IT,Non-Manager,138
Help Desk,IT,Other,3
Help Desk,IT,Unknown,40
Help Desk,IT,VP-Level,8
Help Desk,IT,manager,2
Help Desk,IT,nan,398
Help Desk,Legal,nan,1
Help Desk,Management,C-Level,15
Help Desk,Management,Director,1
Help Desk,Management,Executive,22
Help Desk,Management,Manager,1
Help Desk,Management,Unknown,1
Help Desk,Management,nan,2
Help Desk,Marketing,C-Level,1
Help Desk,Marketing,Contributor,5
Help Desk,Marketing,Manager,2
Help Desk,Operations,Contributor,3
Help Desk,Operations,Director,1
Help Desk,Operations,Executive,1
Help Desk,Operations,Manager,2
Help Desk,Sales,C-Level,14
Help Desk,Sales,Contributor,57
Help Desk,Sales,Director,10
Help Desk,Sales,Executive,56
Help Desk,Sales,Manager,8
Help Desk,Sales,nan,3
Help Desk,Services,C-Level,2
Help Desk,Services,Executive,83
Help Desk,Services,Manager,14
Help Desk,Services,nan,1
Help Desk,Support,C-Level,6
Help Desk,Support,Contributor,21
Help Desk,Support,Director,6
Help Desk,Support,Executive,9
Help Desk,Support,Manager,34
Help Desk,Support,Non-Manager,1
Help Desk,Support,nan,4
Help Desk,Unknown,Director,4
Help Desk,Unknown,Manager,12
Help Desk,Unknown,nan,7
INformation Security,IT,Contributor,6
INformation Security,nan,nan,1
IT,IT,Director,4
IT,IT,Executive,3
IT,Management,Executive,1
IT Facilities,Administration,Contributor,2
IT Facilities,Engineering,C-Level,2
IT Facilities,Engineering,Contributor,27
IT Facilities,Engineering,Director,10
IT Facilities,Engineering,Executive,3
IT Facilities,Engineering,Manager,11
IT Facilities,Engineering,Unknown,1
IT Facilities,Engineering,nan,7
IT Facilities,Facilities,C-Level,8
IT Facilities,Facilities,Contributor,23
IT Facilities,Facilities,Director,16
IT Facilities,Facilities,Executive,14
IT Facilities,Facilities,Manager,47
IT Facilities,Facilities,Non-Manager,1
IT Facilities,Facilities,nan,2
IT Facilities,Human Resource,Executive,1
IT Facilities,IT,C-Level,21
IT Facilities,IT,Contributor,99
IT Facilities,IT,Director,42
IT Facilities,IT,Executive,93
IT Facilities,IT,Manager,270
IT Facilities,IT,Unknown,3
IT Facilities,IT,nan,11
IT Facilities,Management,C-Level,2
IT Facilities,Management,Contributor,4
IT Facilities,Management,Executive,2
IT Facilities,Medical,C-Level,2
IT Facilities,Operations,Director,1
IT Facilities,Operations,Executive,3
IT General,Education,Contributor,10
IT General,Education,nan,2
IT General,Engineering,C-Level,110
IT General,Engineering,Contributor,3875
IT General,Engineering,Director,521
IT General,Engineering,Executive,274
IT General,Engineering,Manager,716
IT General,Engineering,Unknown,15
IT General,Engineering,nan,450
IT General,Facilities,C-Level,3
IT General,Facilities,Contributor,16
IT General,Facilities,Director,7
IT General,Facilities,Executive,10
IT General,Facilities,Manager,22
IT General,Facilities,nan,4
IT General,Finance,C-Level,17
IT General,Finance,Contributor,4
IT General,Finance,Executive,6
IT General,Finance,Manager,13
IT General,Finance,nan,1
IT General,Human Resource,Contributor,4
IT General,Human Resource,Director,1
IT General,Human Resource,Executive,10
IT General,Human Resource,Manager,8
IT General,IT,C-Level,19535
IT General,IT,C-level,43
IT General,IT,Contributor,31920
IT General,IT,Director,20820
IT General,IT,Director / C-Level,2
IT General,IT,Executive,36223
IT General,IT,Manager,38823
IT General,IT,Non-Manager,94
IT General,IT,Unknown,121
IT General,IT,VP-Level,13
IT General,IT,nan,3081
IT General,Legal,C-Level,2
IT General,Legal,Contributor,21
IT General,Management,C-Level,2910
IT General,Management,Contributor,43
IT General,Management,Director,50
IT General,Management,Executive,3555
IT General,Management,Manager,36
IT General,Management,Unknown,7
IT General,Management,nan,22
IT General,Marketing,C-Level,1
IT General,Marketing,Contributor,38
IT General,Marketing,Director,7
IT General,Marketing,Executive,6
IT General,Marketing,Manager,21
IT General,Marketing,nan,9
IT General,Medical,Contributor,3
IT General,Operations,C-Level,2
IT General,Operations,Contributor,11
IT General,Operations,Director,6
IT General,Operations,Executive,9
IT General,Operations,Manager,8
IT General,Operations,nan,1
IT General,Public Sector,Contributor,4
IT General,Purchasing,Contributor,1
IT General,Sales,C-Level,2
IT General,Sales,Contributor,74
IT General,Sales,Director,27
IT General,Sales,Executive,20
IT General,Sales,Manager,66
IT General,Sales,Unknown,2
IT General,Sales,nan,78
IT General,Services,Executive,1
IT General,Services,Manager,4
IT General,Support,Contributor,4
IT General,Unknown,C-Level,171
IT General,Unknown,C-level,6
IT General,Unknown,Contributor,2949
IT General,Unknown,Director,45
IT General,Unknown,Executive,931
IT General,Unknown,Manager,265
IT General,Unknown,nan,1
IT General,nan,nan,2
IT/IS Compliance/Risk/Control Staff,Unknown,Unknown,2
Information Security,Administration,C-Level,15
Information Security,Administration,Contributor,220
Information Security,Administration,Director,2
Information Security,Administration,Executive,53
Information Security,Administration,Manager,13
Information Security,Corporate,C-Level,1
Information Security,Corporate,Contributor,42
Information Security,Corporate,Director,5
Information Security,Corporate,Executive,6
Information Security,Education,C-Level,2
Information Security,Education,Contributor,3
Information Security,Education,Director,1
Information Security,Engineering,C-Level,513
Information Security,Engineering,C-level,6
Information Security,Engineering,Contributor,2022
Information Security,Engineering,Director,195
Information Security,Engineering,Executive,350
Information Security,Engineering,Manager,1092
Information Security,Engineering,Non-Manager,12
Information Security,Engineering,Unknown,22
Information Security,Engineering,nan,191
Information Security,Facilities,C-Level,33
Information Security,Facilities,Contributor,30
Information Security,Facilities,Executive,15
Information Security,Facilities,Manager,80
Information Security,Finance,C-Level,57
Information Security,Finance,Contributor,192
Information Security,Finance,Director,13
Information Security,Finance,Executive,48
Information Security,Finance,Manager,88
Information Security,Human Resource,C-Level,27
Information Security,Human Resource,Contributor,37
Information Security,Human Resource,Director,6
Information Security,Human Resource,Executive,54
Information Security,Human Resource,Manager,83
Information Security,Human Resource,nan,6
Information Security,IT,Admin,1
Information Security,IT,Analyst,1
Information Security,IT,C level,2
Information Security,IT,C-Level,93392
Information Security,IT,C-level,93
Information Security,IT,C-suite,2
Information Security,IT,Contributor,157345
Information Security,IT,CxO,33
Information Security,IT,Decision maker,14
Information Security,IT,Director,15684
Information Security,IT,Director / C-Level,11
Information Security,IT,Director Level,11
Information Security,IT,Engineer/Admin,30
Information Security,IT,Exec.,1
Information Security,IT,Executive,66815
Information Security,IT,Global Infosec Engineering Tech Manager,2
Information Security,IT,IT Security Admin,2
Information Security,IT,IT Security Engineer,1
Information Security,IT,IT Security Manager,1
Information Security,IT,Individual Contributor,61
Information Security,IT,Management,7
Information Security,IT,Manager,104935
Information Security,IT,Manager Level,11
Information Security,IT,Non-Manager,1286
Information Security,IT,Other,24
Information Security,IT,Security Analyst,1
Information Security,IT,Senior Management,10
Information Security,IT,Sr Manager,2
Information Security,IT,Team Lead,46
Information Security,IT,Technik DV/IT,4
Information Security,IT,Threat Hunting Manager,1
Information Security,IT,Unknown,1066
Information Security,IT,VP,3
Information Security,IT,VP-Level,120
Information Security,IT,VP/Director,31
Information Security,IT,nan,8248
Information Security,"Information Security, Information Technology",Contributor,1
Information Security,Information Technology,Contributor,1
Information Security,Information Technology,Non-Manager,2
Information Security,Legal,C-Level,5
Information Security,Legal,Contributor,7
Information Security,Legal,Executive,8
Information Security,Legal,Non-Manager,1
Information Security,Management,C-Level,1516
Information Security,Management,Contributor,535
Information Security,Management,Director,88
Information Security,Management,Executive,880
Information Security,Management,Manager,80
Information Security,Management,Non-Manager,1
Information Security,Management,Unknown,8
Information Security,Management,VP/Director,6
Information Security,Management,nan,18
Information Security,Marketing,C-Level,8
Information Security,Marketing,Contributor,24
Information Security,Marketing,Director,2
Information Security,Marketing,Executive,4
Information Security,Marketing,Manager,10
Information Security,Marketing,nan,2
Information Security,Medical,C-Level,2
Information Security,Medical,Contributor,19
Information Security,Medical,Executive,1
Information Security,Medical,Manager,1
Information Security,Operations,C-Level,65
Information Security,Operations,Contributor,29
Information Security,Operations,Director,2
Information Security,Operations,Executive,10
Information Security,Operations,Manager,9
Information Security,Operations,Non-Manager,1
Information Security,Operations,nan,2
Information Security,Public Sector,C-Level,7
Information Security,Public Sector,Contributor,15
Information Security,Public Sector,Manager,1
Information Security,Purchasing,Contributor,1
Information Security,Purchasing,Manager,1
Information Security,Sales,C-Level,58
Information Security,Sales,Contributor,133
Information Security,Sales,Director,9
Information Security,Sales,Executive,72
Information Security,Sales,Manager,31
Information Security,Sales,nan,2
Information Security,Services,C-Level,6
Information Security,Services,Contributor,73
Information Security,Services,Executive,11
Information Security,Services,Manager,1
Information Security,Support,C-Level,2
Information Security,Support,Contributor,102
Information Security,Support,Director,2
Information Security,Support,Executive,22
Information Security,Support,Manager,260
Information Security,Support,nan,2
Information Security,Unknown,C-Level,18
Information Security,Unknown,Contributor,266
Information Security,Unknown,Director,5
Information Security,Unknown,Executive,16
Information Security,Unknown,Manager,53
Information Security,Unknown,Non-Manager,1
Information Security,Unknown,Unknown,3
Information Security,Unknown,nan,3
Information Security,nan,nan,25
Integration,Engineering,Contributor,5
Integration,Engineering,Executive,2
Integration,Engineering,nan,7
Integration,Facilities,Director,2
Integration,Facilities,Executive,1
Integration,Facilities,Manager,3
Integration,Finance,Contributor,1
Integration,IT,C Level,1
Integration,IT,C-Level,59
Integration,IT,C-level,3
Integration,IT,Contributor,378
Integration,IT,Director,347
Integration,IT,Director / C-Level,7
Integration,IT,Executive,195
Integration,IT,Manager,306
Integration,IT,Non-Manager,5
Integration,IT,VP-Level,1
Integration,IT,nan,37
Integration,Management,C-Level,2
Integration,Management,Executive,2
Integration,Sales,Contributor,1
Integration,Unknown,Contributor,3
Lead Data Engineer,nan,nan,1
"Manager, AD Systems",Unknown,Manager,3
Netoworking,IT,Executive,1
Networking,Administration,C-Level,3
Networking,Administration,Contributor,66
Networking,Administration,Director,40
Networking,Administration,Executive,35
Networking,Corporate,C-Level,5
Networking,Corporate,Contributor,5
Networking,Corporate,Director,11
Networking,Corporate,Executive,11
Networking,Corporate,Manager,1
Networking,Education,C-Level,23
Networking,Education,Contributor,2
Networking,Education,Director,6
Networking,Education,Executive,1
Networking,Education,Manager,52
Networking,Engineering,C-Level,131
Networking,Engineering,Contributor,3407
Networking,Engineering,Director,5562
Networking,Engineering,Executive,568
Networking,Engineering,Manager,803
Networking,Engineering,Non-Manager,11
Networking,Engineering,Unknown,15
Networking,Engineering,VP-Level,3
Networking,Engineering,nan,118
Networking,Facilities,C-Level,3
Networking,Facilities,Contributor,15
Networking,Facilities,Director,129
Networking,Facilities,Executive,14
Networking,Facilities,Manager,23
Networking,Facilities,nan,4
Networking,Facilities Management,nan,1
Networking,Finance,C-Level,6
Networking,Finance,Contributor,27
Networking,Finance,Director,130
Networking,Finance,Executive,34
Networking,Finance,Manager,27
Networking,Finance,nan,1
Networking,Human Resource,C-Level,9
Networking,Human Resource,Contributor,4
Networking,Human Resource,Director,73
Networking,Human Resource,Executive,4
Networking,Human Resource,Manager,5
Networking,IT,C-Level,5125
Networking,IT,C-level,4
Networking,IT,Contributor,115277
Networking,IT,CxO,4
Networking,IT,Director,94363
Networking,IT,Director / C-Level,10
Networking,IT,Director Level,5
Networking,IT,Director of Enterprise Cloud Business,1
Networking,IT,Engineer/Admin,38
Networking,IT,Executive,19762
Networking,IT,IT,2
Networking,IT,IT Infrastructure Director,1
Networking,IT,Individual Contributor,36
Networking,IT,Influencers,2
Networking,IT,Management,7
Networking,IT,Manager,39827
Networking,IT,Manager Level,3
Networking,IT,Non-Manager,1007
Networking,IT,Other,4
Networking,IT,Senior Executive,1
Networking,IT,Team Lead,84
Networking,IT,Unknown,483
Networking,IT,VP,5
Networking,IT,VP-Level,43
Networking,IT,VP/Director,51
Networking,IT,contribtuor,2
Networking,IT,contributor,8
Networking,IT,manager,1
Networking,IT,nan,3911
Networking,Legal,C-Level,1
Networking,Legal,Contributor,1
Networking,Legal,Director,2
Networking,Management,C-Level,2655
Networking,Management,Contributor,234
Networking,Management,Director,636
Networking,Management,Executive,2316
Networking,Management,Manager,83
Networking,Management,Non-Manager,1
Networking,Management,Unknown,13
Networking,Management,VP-Level,2
Networking,Management,nan,45
Networking,Marketing,Contributor,16
Networking,Marketing,Director,34
Networking,Marketing,Executive,10
Networking,Marketing,Manager,4
Networking,Marketing,nan,1
Networking,Medical,Contributor,10
Networking,Medical,Director,39
Networking,Medical,Executive,5
Networking,Operations,C-Level,28
Networking,Operations,Contributor,29
Networking,Operations,Director,61
Networking,Operations,Executive,19
Networking,Operations,Manager,26
Networking,Procurement,Director,3
Networking,Public Sector,C-Level,3
Networking,Public Sector,Contributor,7
Networking,Public Sector,Director,6
Networking,Public Sector,Executive,66
Networking,Purchasing,Contributor,2
Networking,Sales,C-Level,8
Networking,Sales,Contributor,146
Networking,Sales,Director,170
Networking,Sales,Executive,36
Networking,Sales,Manager,15
Networking,Sales,nan,2
Networking,Services,C-Level,6
Networking,Services,Contributor,42
Networking,Services,Director,33
Networking,Services,Executive,7
Networking,Services,Manager,13
Networking,Support,C-Level,10
Networking,Support,Contributor,7
Networking,Support,Director,387
Networking,Support,Executive,2
Networking,Support,Manager,1
Networking,Unknown,Contributor,205
Networking,Unknown,Director,1
Networking,Unknown,Executive,17
Networking,Unknown,Manager,645
Networking,Unknown,nan,1
Non-IT,Corporate,nan,3
Non-IT,Director Global IT,nan,1
Non-IT,Education,nan,17
Non-IT,Engineering,C-Level,1
Non-IT,Engineering,Contributor,8
Non-IT,Engineering,Director,1
Non-IT,Engineering,Manager,4
Non-IT,Engineering,Unknown,1
Non-IT,Engineering,nan,315
Non-IT,Facilities,Contributor,2
Non-IT,Facilities,Director,1
Non-IT,Facilities,Executive,1
Non-IT,Facilities,Manager,2
Non-IT,Facilities,nan,42
Non-IT,Finance,nan,33
Non-IT,Human Resource,nan,47
Non-IT,IT,Manager,1
Non-IT,IT,nan,2
Non-IT,Legal,nan,32
Non-IT,Management,C-Level,3
Non-IT,Management,Executive,3
Non-IT,Management,nan,1
Non-IT,Marketing,nan,170
Non-IT,Medical,nan,14
Non-IT,Operations,nan,181
Non-IT,Other,nan,838
Non-IT,Public Sector,nan,25
Non-IT,Purchasing,nan,13
Non-IT,Sales,Contributor,2
Non-IT,Sales,Director,3
Non-IT,Sales,nan,180
Non-IT,Support,nan,16
Non-IT,Unknown,C-Level,3
Non-IT,Unknown,Contributor,70
Non-IT,Unknown,Director,3
Non-IT,Unknown,Executive,3
Non-IT,Unknown,Manager,55
Non-IT,Unknown,Other,4
Non-IT,Unknown,Unknown,7327
Non-IT,Unknown,nan,16272
Non-IT,nan,nan,2
None Technical,Account Management,Director,2
None Technical,Account Management,Manager,1
None Technical,Account Management,Non-Manager,3
None Technical,"Accounting, Internal Audit & Control",Contributor,1
None Technical,Administration,C-Level,69
None Technical,Administration,Contributor,1423
None Technical,Administration,Director,172
None Technical,Administration,Executive,928
None Technical,Administration,Manager,59
None Technical,Administration,Non-Manager,26
None Technical,Administration,Team Lead,1
None Technical,Administration,Unknown,7
None Technical,Administration,nan,57
None Technical,Application Development,Manager,1
None Technical,Business Development,Manager,1
None Technical,Business Intelligence,Contributor,1
None Technical,Business Service Management / ITSM,Contributor,1
None Technical,CIO,Contributor,1
None Technical,"Compliance, Internal Audit & Control, Governance",Manager,3
None Technical,Corporate,C-Level,305
None Technical,Corporate,Contributor,570
None Technical,Corporate,Director,634
None Technical,Corporate,Executive,753
None Technical,Corporate,Manager,400
None Technical,Corporate,Non-Manager,4
None Technical,Corporate,Unknown,13
None Technical,Corporate,VP,1
None Technical,Corporate,VP-Level,1
None Technical,Corporate,nan,82
None Technical,Corporate Strategy,Manager,1
None Technical,Customer Service / Support,Manager,1
None Technical,Customer Service / Support,nan,2
None Technical,Customer Success,Executive,1
None Technical,Data Center,Manager,1
None Technical,Database Administration,Non-Manager,1
None Technical,"Digital Transformation, Information Technology Executive, Information Technology, Engineering & Technical Executive",C-Level,1
None Technical,Education,C-Level,49
None Technical,Education,Contributor,2036
None Technical,Education,Director,218
None Technical,Education,Executive,449
None Technical,Education,Manager,1875
None Technical,Education,Manager Level,1
None Technical,Education,Non-Manager,4
None Technical,Education,Unknown,10
